name,Target,Common name / Synonyms,Developer,Clinical domain,Clinical indication,Development status,Monoclonal Antibody (mAb),Linker,Drug/Payload,Cleavage Mechanism/MOA,Notes,References,Clinical Trials,Drug description,Species,Trade/Property Name,Development Technology,International Nonproprietary Name,INN Proposed / List and Year,INN Number,INN Recommended / List and Year,CAS,UNII (FDA),Expression system,Molecular Formula,Molecular Weight,Patents,Regulatory decisions,Origin clone species,NDC Code,Exact Mass,Additional Find Terms,Specificity target name,Molecular Formula: Description,Application,Regulatory agency status and year,Highlight of Prescribing Information,PubChem Structure,MeSH Unique ID,MeSH Heading,Monoisotopic Mass,Molecular Formula: Biological Sequence,Summary of Product Characterization
Lorvotuzumab mertansine | IMGN-901,"CD56 | NCAM1 (neural cell adhesion molecule 1, CD56, NCAM-1) ",BB-10901 IMGN901 huN901-DM1 IMGN-901,ImmunoGen,Oncology | Hematology,Small-cell lung cancer (SCLC); Leukemia; multiple myeloma;  Independent Children's  Oncology Group study trials in children with: Relapsed or refractory Wilms tumor;  rhabdomyosarcoma; neuroblastoma; pleuropulmonary blastoma; malignant peripheral nerve sheath tumor (MPNST); Synovial sarcoma.,This program has been discontinued (2013/2014). Independent Children's  Oncology Group Clinical Phase II Trials in pediatric oncology continue.,IgG1 - kappa,A thiopentanoate linker (or reducible SPP (N-succinimidyl 4-(2-pyridyldithio)) linker)   An average of 3-4 lysyl,Maytansine DM1 (microtubule inhibitor),Tubulin depolymerization ,"According to the sponsor, the development of this investigational agent was discontinued as a result of increased infection (SCLC).  Trial continued for the treatment of patients with multiple myeloma but were later discontinued as well.  However,  independent trials in pediatric oncology continue and as presented during ASCO 2017, toxicity results indicate that the agent was tolerated by children at the Recommended Phase II Dose (RP2D) for adults. ",,,"Lorvotuzumab mertansine, also known as IMGN-901, is a anti-NCAM1 (neural cell adhesion molecule 1, CD56, NCAM-1)], humanized monoclonal antibody conjugated to maytansinoid DM1 via a thiopentanoate linker.",Humanized,,,Lorvotuzumab mertansine,103 | 2010,9299,65 | 2011,1008106-64-6,UNII-0IVD6ASY0W,CHO (Chinese Hamster Ovary) MTX (methotrexate resistant) cells,Unspecified,868.4844,,,Mus musculus,,,,,,,,,,,,,,
Losatuxizumab vedotin | ABBV-221,"EGFR (epidermal growth factor receptor, receptor tyrosine-protein  kinase erbB-1, ERBB1, HER1, HER-1, ERBB) delta 2-7 isoform (delta2-7EGFR, de2-7 EGFR, EGFRvIII)",ABBV-221 ABBV221,AbbVie,Oncology,"Solid tumors (overexpressing EGFR), including: - Head and Neck Squamous Cell Carcinoma  - Non-small Cell Lung Cancer  - Triple Negative Breast Cancer - Colorectal Carcinoma  - Glioblastoma Multiforme",Phase I  ABBV-221 has advanced to a phase I clinical trial inpatients with advanced solid tumors associated with elevatedlevels of EGFR.,IgG1 - kappa affinity-matured ABT-806,A cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker   ,Monomethyl auristatin E (MMAE)  On an average of 3 cysteinyl,Epidermal growth factor receptor modulators ,"Preliminary efficacy, safety and pharmacokinetics data from a phase I trial of losatuxizumab vedotin in the treatment of solid tumors were presented at the 53rd Annual Meeting of the American Society of Clinical Oncology (ASCO) in June 2017.","Phillips AC, Boghaert ER, Vaidya KS, et al. Characterization of ABBV-221, a Tumor-Selective EGFR-Targeting Antibody Drug Conjugate. Mol Cancer Ther. 2018;17(4):795-805. doi:10.1158/1535-7163.MCT-17-0710",A Study Evaluating Safety and Pharmacokinetics of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated Levels of Epidermal Growth Factor Receptor - NCT02365662 https://www.clinicaltrials.gov/ct2/show/NCT02365662,"Losatuxizumab vedotin, also known as ABBV 221, is an antibody-drug conjugate targeting epidermal growth factor receptor, for the treatment of cancer.",Chimeric Humanized,,,Losatuxizumab vedotin,116 | 2016,10342,78 | 2017,1685249-67-5,UNII-17C83BVV62,CHO (Chinese Hamster Ovary) cells,C68-H106-N11-O15-S,,,,Mus musculus,,,,,,,,,,,,,,
Lupartumab amadotin | BAY 1129980,"LYPD3 (LY6/PLAUR domain containing 3, C4.4A ) ",BAY 1129980 BAY-1129980 BAY1129980  Other synonyms  Anti-C4.4a antibody-drug conjugates - Bayer Anti-LY6-PLAUR domain containing 3 antibody-drug conjugates - Bayer Anti-LYPD3 antibody-drug conjugates - Bayer; LYPD3 protein-directed antibody-drug conjugates - Bayer,Bayer,Oncology,Neoplasms,Phase I  In December 2018 Bayer terminates a phase I dose escalation trial in Solid tumors in  late-stage disease in Canada and USA ,IgG1 - lambda,A partially reduced S-cystine sulfurhydryl groups.  On an average of KRN-23, Auristatin W derivative,LYPD3 receptor antagonists ,"Amadotin  (3RS)-1-[(3R,4S,7S,10S)-1-{(2S)-2-[(1R,2R)-3-{[(2S)-1-amino-3-(1H-indol-3-yl)-                                 1-oxopropan-2-yl]amino}-1-methoxy-2-methyl-3-oxopropyl]pyrrolidin-1-yl}-4-[(2S)-                                butan-2-yl]-3-methoxy-5,11-dimethyl-1,6,9,15,18-pentaoxo-7,10-di(propan-2-yl)-                                                5,8,11,16,17-pentaazatricosan-23-yl]-2,5-dioxopyrrolidin-3-yl ",,Dose-escalation Study of Lupartumab Amadotin (BAY1129980) - NCT02134197 - This trial was terminated in December 2018,,Homo sapiens,,,Lupartumab amadotin (also listed as Lupatumab amadotin),115 | 2016,10257,77 | 2017,1640972-00-4,UNII-21970JMA97,CHO (Chinese Hamster Ovary) cells,C55-H87-N10-O11-S,,,,,,,,,,,,,,,,,,
M1231,"EGFR (Epidermal growth factor receptor, a protein that is present on the surface of both normal cells and cancer cells and is involved in cell growth) and MUC1 (a glycoprotein involved in the metastasis and invasion of multiple tumor types)",,EMD Serono Sutro Biopharma,Oncology,,Preclinical  A phase I clinical trial for M1231 is planned to start in 2020.  Update: July 2020) ,,,,,This is a bispecific antibody-drug conjugate targeting EGFR and MUC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDX-060 / iratumumab,CD30,,Medarex/Bristol-Myers Squibb ,,Hodgkin's disease; Lymphoma; Non-Hodgkin's lymphoma,Phase II (Discontinued),,-,-,-,,,,,,-- (INN: iratumumab),,,,,,,,,,,,,,,,,,,,,,,,,,,
MDX-1203 | BMS936561,"CD70 (TNFSF7) | CD70, the ligand for the co-stimulatory receptor CD27 and a member of the tumor necrosis factor (TNF) family, is found on the surfaces of various types of cancer cells. ",MDX-1203; BMS936561; BMS-936561; αCD70_MED-A,Medarex Bristol-Myers Squibb,Oncology Hematology,Renal Cell Carcinoma (RCC) | Non-Hodgkin's lymphoma,Phase I (Completed) This program has been discontinued.,,Di-peptide,A prodrug of a CC-1065 (rachelmycin) analogue  duocarmycin,Protease cleavage / Double strand DNA cleavage / DNA minor groove alkylation.,CC-1065 is a DNA minor-groove-binding alkylating agent which was originally isolated from the bacterium Streptomyces zelensis.,,,"Upon internalization, the prodrug moiety is released and activated and binds to double-stranded B-DNA within the minor groove, thereby alkylating the –3 position of adenine, which may result in the inhibition of cellular proliferation of tumor cells that overexpress CD70.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDI-547,EphA2,MEDI-547; MEDI547,MedImmune,Oncology,Solid Tumors,Phase I; This program was discontinued/terminated for solid tumors (2010),,Stable linker maleimidocaproyl (mc),Auristatin MMAF,Tubulin polymerase inhibitor ,"According to Annunziata CM., et al (2013 Invest. New Drugs), the development of this investigational agent was discontinued as a result of hemorrhagic toxicities at lowest doses caused by mAb toxicity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDI3726 | ADCT-401,An engineered version of the anti-Prostate-specific membrane antigen (PSMA) antibody J591   ,MEDI3726;  Anti-PSMA/PBD ADC MEDI3726 ADCT-401,ADC Therapeutics in collaboration with MedImmune/AstraZeneca ,Oncology,Castration resistant prostate cancer,"Phase I  Discontinued  A phase I study is to assess the safety and tolerability, describe the dose-limiting toxicities (DLTs), and determine the maximum tolerated dose (MTD) or maximum administered dose (MAD [in the absence of establishing the MTD]) for single agent MEDI3726 in subjects with mCRPC who have received prior treatment with abiraterone or enzalutamide, with or without a prior taxane-based chemotherapy in the mCRPC setting. (updated January 2020)",A humanized PSMA-specific IgG1 monoclonal antibody J591 engineered to enable site-specific conjugation,A valine-alanine dipeptide linker.  Site specifically conjugated,A highly cytotoxic DNA cross- linking pyrrolobenzodiazepine (PBD) dimer tesirine (SG319).   The drug-to-antibody ratio  [DAR] is 1.8,,,https://mct.aacrjournals.org/content/17/10/2176  https://pubs.acs.org/doi/full/10.1021/acs.analchem.0c01187,A Phase 1/1b Study of MEDI3726 in Adults Subjects With Metastatic Castration Resistant Prostate Cancer (MEDI3726) - NCT02991911 https://clinicaltrials.gov/ct2/show/NCT02991911,"This ADC specifically binds to PSMA and, once internalized, is trafficked to the lysosomes. The PBD dimer is subsequently released, resulting in DNA cross-links and cell death.",Humanized,,,,,,,,SA4H7K0SW2,,,,,,,,,,,,,,,,,,,,
MEDI4276  | MEDI 4276,Human epidermal growth factor receptor 2 (HER2; ERBB2) ,MEDI4276;  MEDI 4276; MEDI-4276,Medimmune / AstraZeneca,Oncology,Breast cancer Gastric cancer,Phase I,Trastuzumab scFv (Binding to Domain IV of HER2),Site-specific conjugation on mc-Lys-MMETA to 2 engineered cysteine residues on the heavy chain via a maleimidocaproyl linker.,"MMETA, a Tubulysin Payload also known as AZ13599185.",ERBB 2 receptor modulators,,,NCT02576548 - https://clinicaltrials.gov/ct2/show/NCT02576548,MEDI4276 is a biparatopic multiepitope targeting tubulysin antibody-drug conjugate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEN1309 | OBT076,Ly75/CD205 (a type I transmembrane glycoprotein and a C-type lectin receptor; over-expressed in several solid tumors and non-Hodgking lymphomas (NHL),MEN 1309 MEN1309 OBT076,Co-developed by Menarini Ricerche and Oxford BioTherapeutics,Hematology; Oncology,Diffuse large B-cell lymphoma (DLBCL) | a type of non-Hodgkin lymphoma - NHL); Triple Negative Breast Cancer (TNBC),IND-enabling,,Cleavable linker,Maytansinoid toxin (DM4),,,,,,Fully humanized,,Fully human antibody generated by Amgen’s Xenomouse® technology and ImmunoGen’s proprietary ADC toxin technology.,,,,,,,,,,,,,,,,,,,,,,,,,,
MGC018; Anti-B7-H3 ADC,"B7-H3 (CD276), an immune checkpoint member of the B7 and CD28 families; Induced on antigen-presenting cells and plays an important role in the inhibition of T-cell function; highly overexpressed on a wide range of human solid cancers; Often correlates with both negative prognosis and poor clinical outcome in patients.",Anti-B7-H3 ADC; MGC018,MacroGenics,Oncology,Solid tumors,IND-enabling studies ,MacroGenics proprietary B7-H3 antibody (humanized B7-H3 mAb),"A duocarmycin-based, linker-drug; valine-citrulline-seco-DUocarmycin-hydroxyBenzamide-Azaindole (vc-seco-DUBA)",A synthetic duocarmycin analogs. ,"The cytotoxic payload binds to the minor groove of DNA and subsequently cause irreversible alkylation of DNA, leading to programmed tumor cell death.","Synthon has licensed rights to its linker-drug technology to MacroGenics to enable future development and commercialization of MGC018. Synthon will also provide manufacturing support and supply ADC to MacroGenics and will be entitled to receive license fees, milestone payments and royalties based on successful development and commercialization of MGC018.",,,"Upon internalization of the ADC, the antibody-bound cytotoxins are released intracellularly. The cytotoxic payload binds to the minor groove of DNA and subsequently cause irreversible alkylation of DNA, leading to programmed tumor cell death.   Duocarmycins are able to exert their mode of action at any phase in the cellular cycle, whereas tubulin binders will only attack tumor cells when they are in a mitotic phase.",,,"MacroGenics Anti-B7-H3 ADC includes Synthon Biopharmaceuticals' proprietary duocarmycin-based, linker-drug technology.",,,,,,,,,,,,,,,,,,,Pre-clinical.,,,,,,,
MI130004,HER2,,PharmaMar,,Selectivity towards cell lines with high HER2 expression (IC50s 0.282 and 0.182 nM against HCC-1954 and SK-BR-3 cell lines),Preclinical ,,Linker containing a maleimide group to enable conjugation to Cys residues.,PM050489,CD13 antigen inhibitors | ERBB 2 receptor antagonists |Tubulin polymerisation inhibitors ,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLN-2704 | MLN2704,PSMA  (Prostate-specific membrane antigen),MLN-2704; MLN2704,Millennium/ Takeda,Oncology,Prostate Cancer,Phase-I / II  Discontinued in Prostate  (2006),MLN591,Disulfide linker,Maytansine analog drug maytansinoid-1 (DM1) ,Tubulin depolymerization / Apoptosis stimulants / Mitosis inhibitors,"According to Milowsky MI., et al. (2016  Urologic Onc.) development was discontinued as a result of dose dependent peripheral  neuropathy (payload). ",,,,,,Immunogen's Tumor-Activated Prodrug (TAP) technology ,,,,,,,,,,,,,,,,,,,,,,,,,,
MM-302,HER2,MM-302; Nano-doxorubicin,"Merrimack Pharmaceuticals, Inc.",,Locally advanced/metastatic HER2-positive breast cancer patients who have received prior treatment with trastuzumab in any setting and who have either progressed or are intolerant to each of pertuzumab and ado-trastuzumab emtansine in the metastatic or locally advanced setting. ,Phase II,scFv anti-HER2,PEG-DSPE,Liposomal doxorubicin (Liposome-encapsulated doxorubicin),DNA intercalators; RNA synthesis inhibitors; Type II DNA topoisomerase inhibitors,,,,,,,,,,,,,,,,,Key IP | US2014023698,,,,,,,,,,,,,,,,
MORAb-202,Folate receptor alpha (FRA) ,MORAb-202,"Morphotek®, a subsidiary of Eisai",Oncology,Platinum-sensitive solid tumors:  - Ovarian Cancer; - Endometrial Cancer; - Gastric cancer; - Non-small cell lung (NSCLC); - Triple-negative Breast Cancer (TNBC);  ,"Preclinical Phase I Phase I/II  The primary objectives of this multicenter, open-label phase I/II Trial includes a dose-escalation part to evaluate safety, tolerability and to determine the recommended Phase II dose (RP2D) of MORAb-202, and a an expansion part to evaluate the objective response rate (ORR) in each of the selected tumor types at the RP2D. (Update: March 2020)  A phase I study is to evaluate the tolerability and safety profile of MORAb-202 in patient with solid tumors.(Update May 2020)",The humanized anti-human folate receptor alpha (FRA) antibody farletuzumab.,"Cathepsin-cleavable linker   A reduced interchain disulfide bonds to maleimido-PEG2-valine-citrulline-p-aminobenzylcarbamyl linker - designed to be cleaved by cathepsin B, a lysosomal cysteine protease.","The microtubule-targeting agents (MTA), eribulin, a derivative of the macrocyclic polyether natural product halichondrin B.  Drug-to-antibody ratio of 4.0.",,,,"A Study to Evaluate the Safety, Tolerability, and Efficacy of MORAb-202, a Folate Receptor Alpha (FRα)-Targeting Antibody-drug Conjugate (ADC) in Participants With Selected Tumor Types - NCT04300556 https://clinicaltrials.gov/ct2/show/NCT04300556  A Study of MORAb-202 in Participants With Solid Tumors - NCT03386942 https://clinicaltrials.gov/ct2/show/NCT03386942",farletuzumab-[Mal-PEG2-Val-Cit-pAB-eribulin] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRG004A,"Tissue Factor (TF) is a 47-kDa membrane-bound cell surface receptor. It is also known as thromboplastin, coagulation factor III (fIII) or CD142. TF is highly expressed on tumor cells and in the tumor ",MRG004A,"Shanghai Miracogen, a fully owned subsidiary of Lepu Biopharma",Oncology,Solid Tumors,Phase I/II,,,,,Synaffix' GlycoConnect™ site-specific conjugation technology,,NCT04843709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milatuzumab doxorubicin (hLL1-DOX | IMMU-110),"CD74 (major histocompatibility class II invariant chain, MH2) ","Milatuzumab doxorubicin; hLL1-DOX; IMMU-110; CD74-DOX, MEDI-115, hLL1,",Immunomedics,Oncology,Chronic lymphocytic leukemia; Multiple myeloma; Non-Hodgkin’s lymphoma,"Phase I, Phase II This program has been discontinued",IgG1 - kappa,Hydrazone,Doxorubicin,DNA intercalator ,,,http://adc.expert/1BKMumy,,Humanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mipasetamab Uzoptirine | ADCT-601,"AXL (AXL receptor tyrosine kinase, ARK, JTK11, Tyro7, UFO) ",ADCT-601,ADC Therapeutics,Oncology,"Solid tumors (eg, lung, breast, prostate, pancreas, glioma, and esophageal) and Hematological malignancies (eg, acute and chronic myeloid leukemia).",Phase I (NCT03700294),IgG1 - kappa,A cleavable (valine-alanine dipeptide as cathepsine B cleavage site) maleimide type linker ,Pyrrolobenzodiazepine (PDB) dimer SG3199 on an average of 2 glycoengineered CH2 N84.4 ,Valine-alanine dipeptide/cathepsine B cleavage,,,"Safety, Tolerability, Pharmacokinetics, and Antitumor Study of ADCT-601 to Treat Advanced Solid Tumors -  NCT03700294","Mipasetamab Uzoptirine or ADCT-601 ia humanized antibody that binds to human AXL conjugated using Glycoconnect™ technology to a linker with a PBD-dimer toxin. Once bound to an AXL-expressing cell, ADCT-601 is internalized into the cell, where enzymes release the PBD-based payload. AXL is an ideal target for an ADC approach, as it is highly overexpressed in many solid tumors and hematological malignancies.",Humanized,,GlycoConnect™ ADC (Synaffix),mipasetamab uzoptirine,123 |2020,11416,85 | 2021,,,CHO (Chinese Hamster Ovary) cells,,,,,ATD7a-CB-CC1-TR1-MP17-C2,,,,,,,,,,,,,,
Mirvetuximab Soravtansine | IMGN-853,"Folate receptor 1 (FRα/ Folate Receptor α, FOLRI 1)","IMGN853, M9346A-sulfo-SPDB-DM4; Anti-FOLR1 monoclonal antibody-maytansinoid conjugate; ",ImmunoGen (Cambridge MA USA),Oncology,Ovarian tumor; non-small cell lung cancer (NSCLC) and other solid tumor,"Phase I (NCT01609556, NCT02606305); Phase II (NCT02631876); Phase III",IgG1 - kappa M9346A anti- FRα antibody ,N-Succinimidyl 4-(2-pyridyldithio)-2-sulfobutanoate linker (Sulfo-SPDB).  Linker specifically designed to counteract multi-drug resistance,Maytansinoid DM4  (N2'- Deacetyl-N2'-(4-mercapto-4-methyl-1-oxopentyl)-maytansine,Disulfide-containing cleavable linker sulfo-SPDB ,,"[1] National Center for Biotechnology Information. PubChem Compound Database; CID=91810695, http://adc.expert/1pM4dsv (Last Accessed Mar. 16, 2016). [2] Poiron, C. et al., JOBIM 2010, Paper 13 (2010).",,"Mirvetuximab soravtansine or IMGN853, is a potential treatment for folate receptor alpha (FRα)-positive cancer, including ovarian cancer and other types of solid tumors (e.g., endometrial, lung).",Chimeric,,,Mirvetuximab Soravtansine,113 / 2015 (http://adc.expert/1nONt2a),10176,75 / 2016 (http://adc.expert/1nONt2a),1453084-37-1,98DE7VN88D,CHO (Chinese Hamster Ovary) cells,C42H61ClN4O14S3,977.60014 g/mol,WO2015014879A1 WO2015014879A9,"EMA Orphan drug designation May 11, 2015 (Ovarian Cancer)",,,976.303493 g/mol,,"FOLR1 (folate receptor 1, folate receptor alpha, FR-alpha, adult folate-binding protein, FBP, ovarian tumor-associated antigen MOv18) ",,Therapeutic,,,,,,976.303493 g/mol,,
Mirzotamab Clezutoclax | ABBV-155,"CD276 (B7H3, B7-H3, B7-related protein 2, B7RP2, B7RP-2, B7 homolog 3, B7 homologue 3)",ABBV-155,AbbVie,Oncology,"Solid tumors, advanced or metastatic","Phase I | An open-label, dose-escalation (Part 1), dose-expansion (Part 2) study to assess the safety, pharmacokinetics (PK), and preliminary efficacy.","IgG1 - kappa | mirzotamab, P01-18-P10-18, huAb13v1, huAb13.1a",A cleavable dipeptide (valine-alanine) linker. ,Clezutoclax (an inhibitor of BCL2L1)  Average of 2 cysteinyl ,,,,NCT03595059 | https://www.clinicaltrials.gov/ct2/show/NCT03595059,,Chimeric Humanized,,,Mirzotamab clezutoclax,121 | 2019,,,,,CHO (Chinese Hamster Ovary) cells,,, US208076187,,,,,,,,,,,,,,,,
NBE-001,Undisclosed target,NBE-001,NBE Therapeutics,Oncology,Multiple Myeloma ,ADC Lead Validation,,,,,,,,,,,NBE Therapeutics' proprietary site-specific SMAC-conjugation™,,,,,,,,,,,,,,,,,,,,,,,,,,
NBE-002 - ROR-1,"Receptor  tyrosine-kinase  like  orphan  receptor  (ROR1), a  member  of  the tyrosine kinase family. (ROR1 expressing cells (e.g. CLL cells, JeKo-1 cells, or solid tumor cells) or ROR1-negative cells (e.g. Ramos and Jurkat cells).",NBE-002 NBE-002 - ROR-1,NBE Therapeutics GmbH,Oncology,Triple Negative Breast Cancer (TNBC) Lung Cancer CLL - MCL,Preclinical Development ,,,,,,https://adcreview.com/news/nbe-therapeutics-sotio-start-collaboration-development-next-generation-adc/ ,,,,,NBE Therapeutics' proprietary site-specific SMAC-conjugation™,,,,,,,,,,,,,,,,,,,,,,,,,,
NBE-003,Undisclosed target,NBE-003,NBE Therapeutics,Oncology,Triple Negative Breast Cancer (TNBC) Pancreatic Carcinoma,ADC Lead validation,,,,,,,,,,,NBE Therapeutics' proprietary site-specific SMAC-conjugation™,,,,,,,,,,,,,,,,,,,,,,,,,,
NC-6201 (ADCM-E7974),"EGFR; Epidermal growth factor receptor (EGFR),  a transmembrane tyrosine kinase receptor involved in the proliferation and survival of cancer cells.",NC-6201; ADCM-E7974.,"NanoCarrier Co.,Ltd (Japan) and Eisai",Oncology,Cetuximab-insensitive KRAS-mutated tumors; Pancreatic Cancer; Triple Negative Breast cancer (TNBC) ,Preclinical,NCAB001 (Same sequence with  Cetuximab),,"E7974, a synthetic analog of  hemiasterlin (tubulin inhibitor",Tubulin inhibitor,"This investigational agent is an Antibody-drug conjugated Micelle or ADCM. The ADCM is composed of polyethylene glycol-poly (amino acid derivative) polymers, which can form a micellar nanoparticle spontaneously in aqueous media with a diameter of 20-100 nm. Antibodies are attached to the surface of the nanoparticle, while payloads are inside the inner core at a 'payload-to-antibody ratio' (PAR) of 100-200. ",,,,,,,,,,,,,,,,Japan Patent No.4538666),,,,,,,,,,,,,,,,
NJH395,Antibody targeting human epidermal growth factor receptor 2 (EGFR2; HER2; ErbB2),NJH395 anti-HER2 ISAC NJH395,Novartis Pharmaceuticals ,Oncology,Non-breast HER2-positive advanced malignancies,"Phase I  This phase I study is a first-in-human study using NJH395 in non-breast HER2-positive advanced malignancies. The study has two parts. There will be a single dose of NJH395 in the first part and multiple doses of NJH395 in the second part. After the first part is completed, the second part may open. (Update: June 2020)",anti-HER2,,Toll-like receptor (TLR) 7 and TLR8 ,,"NJH395 is an immune stimulator antibody conjugate (ISAC), consisting of a monoclonal antibody which targets HER2 conjugated to an immune-stimulatory agent.",,Study to Determine Safety and Dose of NJH395 in Non-breast HER2+ Advanced Cancer - NCT03696771 https://clinicaltrials.gov/ct2/show/NCT03696771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV101 (Doxorubicin-anti-CD99),"CD99; also known as MIC2 or Single-chain type-1 glycoprotein, is a heavily O-glycosylated transmembrane protein. CD99 is xpressed on all leukocytes but highest on thymocytes; found on the cell surface of Ewing's sarcoma and positive in granulosa cell tumors. It is more expressed in malignant gliomas than in the brain. Overexpression results in higher levels of invasiveness and lower rates of survival.",NV101; Doxorubicin-anti-CD99,NanoValent Pharmaceuticals,Oncology,Ewing Sarcoma,Preclinical,,,Doxorubicin,,This investigational agent is a new generation and targeted nanoparticle based antibody-drug conjugated (ADC) using the company's proprietary NanoMod™ technology.,,,,,,"NanoValent's proprietary NanoMod™, a nanoparticle based, antibody-drug conjugate (ADC) technology as well as a proprietary Hybrid Polymerized Liposomal Nanoparticles (HPLN) core technology. ",,,,,,,,,,,,,,,,,,,,,,,,,,
NV102 (Doxorubicin-anti-CD19),CD19; a cell surface molecule expressed only by B lymphocytes and follicular dendritic cells of the hematopoietic system. CD19 is the earliest of the B-lineage-restricted antigens to be expressed and is present on most pre-B cells and most non-T-cell acute lymphocytic leukemia cells and B-cell type chronic lymphocytic leukemia cells.,NV102;  Doxorubicin-anti-CD19,NanoValent Pharmaceuticals,Oncology,Acute myeloid leukemia (AML); And acute lymphoblastic leukemia (ALL) ,Preclinical,,,Doxorubicin,,This investigational agent is a new generation and targeted nanoparticle based antibody-drug conjugated (ADC) using the company's proprietary NanoMod™ technology.,,,,,,"NanoValent's proprietary NanoMod™, a nanoparticle based, antibody-drug conjugate (ADC) technology as well as a proprietary Hybrid Polymerized Liposomal Nanoparticles (HPLN) core technology.",,,,,,,,,,,,,,,,,,,,,,,,,,
NV103 (Irinotecan-anti-CD99),"CD99; also known as MIC2 or Single-chain type-1 glycoprotein, is a heavily O-glycosylated transmembrane protein. CD99 is xpressed on all leukocytes but highest on thymocytes; found on the cell surface of Ewing's sarcoma and positive in granulosa cell tumors. It is more expressed in malignant gliomas than in the brain. Overexpression results in higher levels of invasiveness and lower rates of survival.",NV103,NanoValent Pharmaceuticals,Oncology,Ewing Sarcoma; Neuroendocrine tumors,Preclinical,,,Irinotecan,,This investigational agent is a new generation and targeted nanoparticle based antibody-drug conjugated (ADC) using the company's  proprietary NanoMod™ technology.,,,,,,"NanoValent's proprietary NanoMod™, a nanoparticle based, antibody-drug conjugate (ADC) technology as well as a proprietary Hybrid Polymerized Liposomal Nanoparticles (HPLN) core technology. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Naratuximab emtansine | IMGN529 | K7153A | Debio 1562,"CD37 (tetraspanin-26, TSPAN26) ",IMGN529; Debio 1562; naratuximab emtansine; K7153A-SMCC-DM1,ImmunoGen  Debiopharm Internaltional,Oncology | Hematology,"Chronic lymphocytic leukemia; non-Hodgkin’s lymphoma; Lymphoma, diffuse large B cell (DLBCL)",Phase II,humanized IgG1 antibody K7153A,a succinimidyl-4-(N-maleimidomethyl) cyclohexane-  1-carboxylate (SMCC) linker forming a nonreducible thioether bond.  An average of 3-4 lysyl,Maytansine DM1 (microtubule inhibitor,Tubulin depolymerization,,,,"Naratuximab emtansine, also known as IMGN529, is an anti-CD37 (tetraspanin-26, TSPAN26) chimeric monoclonal antibody conjugated to maytansinoid DM1 via a succinimidyl-4-(N-maleimidomethyl) cyclohexane-1-carboxylate (SMCC) linker, forming a nonreducible thioether bond.",Chimeric,,,Naratuximab emtansine,114 | 2015,10238,76 | 2016,1607824-64-5,WE1X5A83B9,CHO (Chinese Hamster Ovary) cells,C47-H63-Cl-N5-O13-S,,,"FDA Orphan drug designation for diffuse large B cell lymphoma (DLBCL)(May 12, 2016)",Mus musculus,,,,,,,,,,,,,,
OBI-999 | Anti-Globo H ADC,"Globo H, an antigen expressed in epithelial cancers",OBI-999 Anti-Globo H ADC,OBI Pharma,Oncology,Solid tumors,"Preclinical Phase I Phase I/II  A phase I/II study is to establish the maximum tolerated dose (MTD) and recommended phase II dose (RP2D) of OBI-999 as monotherapy, and to characterize the safety and preliminary clinical activity profile of the RP2D of OBI-999 in patients with advanced solid tumors.",,Site-specific ThioBridge,,,,,Phase 1/2 Study of OBI-999 in Patients With Advanced Solid Tumors - NCT04084366 https://clinicaltrials.gov/ct2/show/NCT04084366,"Based on Globo H, OBI-999 uses a Globo H antibody to target cancer cells of high Globo H expression. By releasing a small molecule chemotherapeutic drug through the specificity of the antibody, it directly deploys cytotoxicity therapy at the targeted cancer cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMTX503 (Anti-MTX3:Nigrin Immunoconjugate),MTX3; a membrane protein of endothelial cells,OMTX503; Anti-MTX3:Nigrin Immunoconjugate,Oncomatryx Biopharma,Oncology,,Preclinical,Anti-MTX3 antibody,,Nigrin B; a plant toxin from Sambucus nigra (bark) and a member of Type 2 RIP family; inhibit ribosomal activity.,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMTX705 (Anti-MTX5:Cytolysin ADC),MTX5; a membrane glycoprotein of cancer-associated fibroblasts,OMTX705; Anti-MTX5:Cytolysin ADC,Oncomatryx Biopharma,Oncology,Pancreatic cancer,Preclinical,OMTX anti-MTX5 humanized mAb,,Highly cytotoxic synthetic Cytolysins; A synthetic tetrapeptidic analogues of the natural class tubulysins with a low MW: 780 g/mol  ,,,,,,Humanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
